frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf
198,4,4,3225.3,865.2,1.0922,3147.7,977.9,0.2744,,,,3150.2,982.9,0.1042,,,,3423.2,1133.2,0.4042,,,
198,2,4,127.6,606.2,0.8373,,,,,,,187.2,810.3,0.2348,353.1,659.4,0.2566,442.5,916.8,0.6032,,,
198,2,3,,,,,,,,,,,,,112.0,1201.7,0.1318,132.0,1319.3,0.7238,284.0,1281.9,0.1072
201,4,5,3226.7,866.5,1.1733,3143.9,972.5,0.1277,,,,3149.1,975.1,0.3281,3379.3,938.9,0.1442,3420.7,1130.3,0.621,,,
201,2,2,,,,,,,,,,188.7,822.6,0.1162,,,,116.4,1311.1,0.7923,,,
207,4,3,3227.8,864.1,0.7555,,,,,,,3145.8,969.5,0.3303,,,,3417.2,1127.6,0.4303,,,
210,4,4,3227.5,865.1,1.1372,3143.0,968.2,0.2125,,,,3148.3,968.2,0.2863,,,,3417.5,1129.5,0.5596,,,
213,4,4,3229.9,864.5,1.1889,3145.9,967.0,0.2195,,,,3151.1,967.0,0.3053,,,,3416.2,1127.4,0.4294,,,
213,2,3,105.4,559.2,0.1835,,,,,,,,,,327.9,627.6,0.1876,382.6,850.1,0.1984,,,
216,4,4,3229.0,863.1,1.1246,3148.9,968.7,0.151,,,,3154.1,971.3,0.3265,,,,3414.9,1123.3,0.6081,,,
216,2,4,78.8,556.1,0.3234,,,,,,,122.2,738.5,0.1485,307.5,605.0,0.2149,386.3,849.6,0.6582,,,
219,4,5,3230.1,864.5,1.0845,3149.6,969.0,0.1731,,,,3155.0,969.0,0.3342,3324.0,845.8,0.1054,3412.5,1121.6,0.8883,,,
219,2,5,68.4,541.1,0.5545,,,,315.2,604.4,0.1014,113.9,735.2,0.1139,300.0,604.4,0.2135,376.0,840.8,0.8304,,,
222,4,4,3232.1,864.1,1.0388,3149.4,965.5,0.1591,,,,3152.1,965.5,0.3181,,,,3416.2,1128.2,0.5364,,,
222,2,5,57.2,534.5,0.6216,,,,305.0,594.7,0.1306,118.2,740.8,0.1809,278.3,586.1,0.122,366.0,835.4,0.925,,,
225,4,4,3231.8,866.8,1.0355,3155.1,966.5,0.1453,,,,3157.6,969.1,0.3694,,,,3418.5,1125.1,0.3831,,,
228,4,4,3232.7,866.1,0.9921,3159.3,964.7,0.2364,,,,3159.3,971.6,0.1811,,,,3418.5,1125.2,0.6314,,,
228,2,2,529.9,1128.2,0.3069,,,,,,,,,,,,,341.6,812.2,0.3923,,,
231,4,4,3234.8,870.0,0.9568,3160.9,961.5,0.2212,,,,3160.9,974.3,0.181,,,,3418.3,1124.3,0.7013,,,
231,2,1,534.0,1129.8,0.2134,,,,,,,,,,,,,,,,,,
234,4,4,3242.1,869.6,0.8823,3159.2,964.7,0.1833,,,,3164.1,974.4,0.2213,,,,3415.1,1123.1,0.5676,,,
234,2,2,,,,,,,,,,,,,468.7,861.8,0.1466,325.6,811.2,0.1709,,,
237,4,4,3242.0,871.8,0.8106,,,,,,,3158.1,967.1,0.234,,,,3412.2,1125.9,0.2872,3439.5,1146.3,0.1042
237,2,2,,,,,,,,,,,,,471.7,849.0,0.2006,323.1,798.5,1.1179,,,
