frame,class_name,confidence,bbox,num_merged,merged_classes
300,whale,0.06682945042848587,"[1468.7069091796875, 1324.40087890625, 1710.1629638671875, 1583.679931640625]",1,{'whale': 0.06682945042848587}
315,marine mammal,0.5869007110595703,"[3169.19384765625, 870.0227661132812, 3428.90478515625, 1103.5032958984375]",2,"{'marine mammal': 0.5869007110595703, 'whale': 0.2395395189523697}"
315,marine mammal,0.21919499337673187,"[0.0, 352.9997863769531, 500.13665771484375, 953.7221069335938]",1,{'marine mammal': 0.21919499337673187}
315,dorsal fin,0.09280943125486374,"[3249.309326171875, 887.7006225585938, 3393.991943359375, 1023.2924194335938]",1,{'dorsal fin': 0.09280943125486374}
330,marine mammal,0.5755428075790405,"[3175.98193359375, 850.8565063476562, 3435.64013671875, 1125.3970947265625]",2,"{'marine mammal': 0.5755428075790405, 'whale': 0.32655155658721924}"
345,marine mammal,0.7599023580551147,"[3279.322998046875, 952.2910766601562, 3530.4814453125, 1204.0416259765625]",2,"{'marine mammal': 0.7599023580551147, 'whale': 0.11132127791643143}"
345,marine mammal,0.2884667217731476,"[34.26287841796875, 431.7919921875, 552.6729736328125, 911.285888671875]",1,{'marine mammal': 0.2884667217731476}
345,whale,0.09495927393436432,"[1807.5311279296875, 1035.9473876953125, 2089.166259765625, 1308.0208740234375]",1,{'whale': 0.09495927393436432}
345,marine mammal,0.06641362607479095,"[0.0, 543.4697265625, 269.43011474609375, 1403.94873046875]",1,{'marine mammal': 0.06641362607479095}
360,marine mammal,0.6436117887496948,"[3464.99560546875, 1262.7608642578125, 3704.88720703125, 1507.86328125]",2,"{'marine mammal': 0.6436117887496948, 'whale': 0.3935147523880005}"
360,whale,0.13455165922641754,"[1969.1788330078125, 1210.9632568359375, 2286.5224609375, 1518.8016357421875]",1,{'whale': 0.13455165922641754}
375,whale,0.27758100628852844,"[3678.375, 1800.74462890625, 3836.4814453125, 1997.8660888671875]",2,"{'whale': 0.07973399013280869, 'marine mammal': 0.13858288526535034}"
375,marine mammal,0.2369968593120575,"[0.1798553466796875, 527.4655151367188, 608.3043823242188, 1471.2103271484375]",1,{'marine mammal': 0.2369968593120575}
375,marine mammal,0.14289544522762299,"[90.88069152832031, 868.5419311523438, 567.1622314453125, 1467.08984375]",1,{'marine mammal': 0.14289544522762299}
375,marine mammal,0.0500863716006279,"[322.58404541015625, 315.35247802734375, 1007.3516235351562, 1071.5321044921875]",1,{'marine mammal': 0.0500863716006279}
405,marine mammal,0.08675069361925125,"[416.31683349609375, 1011.8765258789062, 773.4622192382812, 1686.234130859375]",1,{'marine mammal': 0.07828617841005325}
420,marine mammal,0.08138369023799896,"[470.43695068359375, 1064.972900390625, 829.9368896484375, 1730.14599609375]",1,{'marine mammal': 0.08138369023799896}
420,marine mammal,0.07232489436864853,"[311.206787109375, 1062.945556640625, 1025.6165771484375, 1937.81396484375]",1,{'marine mammal': 0.07232489436864853}
420,whale,0.05914038047194481,"[433.5196838378906, 772.4752807617188, 810.8192749023438, 1164.0777587890625]",1,{'whale': 0.05914038047194481}
450,whale,0.1904056966304779,"[408.5411682128906, 809.8743896484375, 775.6378784179688, 1171.077392578125]",1,{'whale': 0.1904056966304779}
465,marine mammal,0.26191824674606323,"[918.3275756835938, 662.2047729492188, 1250.2926025390625, 1455.4805908203125]",1,{'marine mammal': 0.26191824674606323}
465,marine mammal,0.16295859217643738,"[1409.5928955078125, 668.2379150390625, 1715.193359375, 1420.7835693359375]",2,"{'marine mammal': 0.16295859217643738, 'whale': 0.06851916760206223}"
465,marine mammal,0.10209356248378754,"[444.78387451171875, 1063.5560302734375, 849.185302734375, 1555.6571044921875]",1,{'marine mammal': 0.10209356248378754}
465,marine mammal,0.07032504677772522,"[1726.5113525390625, 673.2811889648438, 2223.43017578125, 1272.76171875]",1,{'marine mammal': 0.07032504677772522}
480,whale,0.20981352031230927,"[407.0516052246094, 752.7782592773438, 766.95068359375, 1105.1221923828125]",1,{'whale': 0.20981352031230927}
480,marine mammal,0.084311343729496,"[1439.84619140625, 633.5043334960938, 1761.971923828125, 1431.917724609375]",1,{'marine mammal': 0.084311343729496}
495,marine mammal,0.5940718650817871,"[1449.2025146484375, 632.8624877929688, 1773.082763671875, 1210.830322265625]",2,"{'marine mammal': 0.5940718650817871, 'whale': 0.10610123723745346}"
