frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
378,1,4,1667.0,621.0,0.8248,,,,,,,,,,1827.0,661.0,0.183,1803.0,721.0,0.7566,2059.0,825.0,0.1808
381,1,6,1661.0,612.0,0.9059,,,,2033.0,812.0,0.266,1745.0,760.0,0.1288,1833.0,660.0,0.1775,1793.0,708.0,1.0503,2065.0,816.0,0.15
384,1,6,1652.0,599.0,0.8467,,,,2032.0,807.0,0.3877,1696.0,711.0,0.1291,1768.0,611.0,0.122,1788.0,699.0,0.4777,2068.0,807.0,0.1302
387,1,6,1639.0,589.0,0.7939,,,,2031.0,801.0,0.3131,1687.0,705.0,0.1142,1763.0,605.0,0.197,1783.0,689.0,0.7194,1927.0,777.0,0.1071
393,1,5,1617.0,563.0,0.9406,,,,1989.0,751.0,0.2096,,,,1981.0,751.0,0.1515,1765.0,663.0,0.6654,1929.0,771.0,0.1339
396,1,6,1604.0,550.0,0.8989,,,,1984.0,746.0,0.1061,1908.0,842.0,0.136,1996.0,782.0,0.1967,1752.0,658.0,1.0011,1916.0,766.0,0.172
399,1,6,1593.0,535.0,0.9746,,,,1965.0,719.0,0.1307,1897.0,827.0,0.1243,1973.0,719.0,0.1562,1745.0,655.0,0.2707,1913.0,755.0,0.225
429,1,6,1475.0,410.0,0.9699,,,,1835.0,582.0,0.1549,1563.0,582.0,0.169,1663.0,454.0,0.3443,1635.0,530.0,0.9539,1815.0,666.0,0.1863
435,1,6,1455.0,394.0,0.9254,,,,1875.0,618.0,0.252,1551.0,570.0,0.104,1651.0,446.0,0.3133,1619.0,518.0,0.8845,1795.0,650.0,0.1529
438,1,6,1443.0,388.0,0.9991,,,,1879.0,616.0,0.2666,1547.0,564.0,0.1153,1639.0,440.0,0.2665,1607.0,508.0,1.2601,1799.0,628.0,0.1317
441,1,6,1438.0,382.0,0.9034,,,,1882.0,610.0,0.1716,1538.0,562.0,0.1291,1630.0,430.0,0.3247,1602.0,502.0,1.0561,1782.0,634.0,0.1396
444,1,6,1434.0,376.0,0.9571,,,,1858.0,604.0,0.3545,1522.0,548.0,0.1342,1626.0,424.0,0.316,1582.0,496.0,0.7726,1802.0,628.0,0.1184
447,1,6,1425.0,373.0,0.935,,,,1861.0,605.0,0.3946,1525.0,553.0,0.1154,1617.0,421.0,0.3039,1577.0,489.0,0.7212,1817.0,581.0,0.1382
456,1,6,1406.0,364.0,0.863,,,,1854.0,576.0,0.2746,1502.0,536.0,0.1324,1602.0,412.0,0.2402,1562.0,480.0,0.3144,1734.0,580.0,0.1675
459,1,5,1405.0,360.0,0.843,,,,1805.0,524.0,0.2662,,,,1597.0,400.0,0.2918,1561.0,476.0,0.2546,1757.0,604.0,0.2423
483,1,6,1388.0,322.0,0.9213,,,,1844.0,486.0,0.2213,1444.0,426.0,0.1352,1600.0,370.0,0.3112,1576.0,458.0,0.8382,1708.0,522.0,0.2094
486,1,6,1393.0,315.0,0.95,,,,1873.0,555.0,0.1657,1457.0,427.0,0.1304,1605.0,363.0,0.3226,1585.0,455.0,0.8004,1785.0,575.0,0.2251
489,1,6,1406.0,312.0,0.9529,,,,1894.0,556.0,0.1689,1462.0,432.0,0.191,1618.0,360.0,0.3261,1602.0,452.0,0.777,1798.0,572.0,0.2111
