frame,class_name,confidence,bbox,num_merged,merged_classes
1410,dorsal fin,0.38011810183525085,"[624.9684448242188, 565.5489501953125, 784.1275634765625, 774.5911254882812]",1,{'dorsal fin': 0.38011810183525085}
1440,dorsal fin,0.32418128848075867,"[647.7724609375, 616.5028076171875, 776.1267700195312, 781.2473754882812]",1,{'dorsal fin': 0.32418128848075867}
1440,whale,0.26119452714920044,"[820.040283203125, 746.4481201171875, 879.8504028320312, 797.873291015625]",2,"{'whale': 0.26119452714920044, 'dorsal fin': 0.22535918653011322}"
1470,dorsal fin,0.7034488320350647,"[664.9381713867188, 660.1368408203125, 774.3989868164062, 801.62841796875]",2,"{'dorsal fin': 0.7034488320350647, 'whale': 0.6266796588897705}"
1470,dorsal fin,0.48539578914642334,"[850.607177734375, 753.67529296875, 908.3948974609375, 806.031005859375]",2,"{'dorsal fin': 0.48539578914642334, 'marine mammal': 0.26337841153144836}"
1500,marine mammal,0.728735089302063,"[878.2686767578125, 724.7064208984375, 948.39111328125, 814.146484375]",2,"{'marine mammal': 0.728735089302063, 'whale': 0.5719244480133057}"
1500,whale,0.6773008704185486,"[692.0790405273438, 701.6513061523438, 772.2991943359375, 805.458251953125]",2,"{'whale': 0.6773008704185486, 'dorsal fin': 0.600008487701416}"
1530,dorsal fin,0.6998358964920044,"[747.3609619140625, 752.713623046875, 786.814697265625, 802.2786254882812]",2,"{'dorsal fin': 0.6998358964920044, 'marine mammal': 0.06874216347932816}"
1530,whale,0.5206091403961182,"[894.0018310546875, 689.9663696289062, 1003.00634765625, 817.6795043945312]",4,"{'whale': 0.5206091403961182, 'dolphin': 0.4411032497882843, 'marine mammal': 0.3434187173843384, 'dorsal fin': 0.12589211761951447}"
1560,whale,0.577477216720581,"[894.8704833984375, 699.5735473632812, 969.2352905273438, 799.990966796875]",2,"{'whale': 0.577477216720581, 'marine mammal': 0.052007440477609634}"
1590,marine mammal,0.3004097640514374,"[878.5819702148438, 727.9320068359375, 937.7136840820312, 784.0221557617188]",2,"{'marine mammal': 0.3004097640514374, 'whale': 0.2592093050479889}"
1620,marine mammal,0.4682192802429199,"[878.6123657226562, 750.3662719726562, 950.6011962890625, 800.2936401367188]",2,"{'marine mammal': 0.4682192802429199, 'whale': 0.4081348478794098}"
1650,marine mammal,0.424591600894928,"[904.7642211914062, 733.71533203125, 965.2254638671875, 782.9952392578125]",2,"{'marine mammal': 0.424591600894928, 'whale': 0.4161987006664276}"
1680,whale,0.5219711065292358,"[940.4288330078125, 694.9806518554688, 1051.4830322265625, 786.2931518554688]",2,"{'whale': 0.1254330724477768, 'marine mammal': 0.0586492195725441}"
1710,whale,0.566387414932251,"[953.129150390625, 712.3511352539062, 1027.1619873046875, 779.5431518554688]",2,"{'whale': 0.566387414932251, 'dorsal fin': 0.281594842672348}"
1740,marine mammal,0.595190703868866,"[954.7765502929688, 726.6392211914062, 1211.3023681640625, 771.9017944335938]",2,"{'marine mammal': 0.595190703868866, 'whale': 0.21576066315174103}"
1740,marine mammal,0.16477274894714355,"[954.813720703125, 729.1741943359375, 1007.8189086914062, 765.0897827148438]",2,"{'marine mammal': 0.16477274894714355, 'whale': 0.12601600587368011}"
1740,whale,0.13087256252765656,"[1168.6453857421875, 730.48095703125, 1209.800537109375, 748.3817138671875]",1,{'whale': 0.13087256252765656}
1770,marine mammal,0.37254488468170166,"[955.8114624023438, 689.1317749023438, 1263.4666748046875, 760.0267333984375]",2,"{'marine mammal': 0.37254488468170166, 'whale': 0.10571751743555069}"
1770,dorsal fin,0.2139803022146225,"[956.9381103515625, 689.2652587890625, 1018.443603515625, 741.1443481445312]",1,{'dorsal fin': 0.2139803022146225}
1800,whale,0.3037731349468231,"[942.5418090820312, 693.2407836914062, 997.6287231445312, 733.7845458984375]",1,{'whale': 0.3037731349468231}
1800,marine mammal,0.075135238468647,"[938.2989501953125, 692.6929931640625, 1280.8365478515625, 751.7720947265625]",1,{'marine mammal': 0.075135238468647}
1890,whale,0.25227609276771545,"[1336.3280029296875, 873.192626953125, 1494.08544921875, 895.70947265625]",2,"{'whale': 0.25227609276771545, 'dorsal fin': 0.10391723364591599}"
