frame,class_name,confidence,bbox,num_merged,merged_classes
1455,marine mammal,0.8539999127388,"[2100.58544921875, 1118.8502197265625, 2285.50732421875, 1646.85498046875]",2,"{'marine mammal': 0.8539999127388, 'whale': 0.22525280714035034}"
1470,marine mammal,0.7465161681175232,"[2107.96240234375, 1054.583984375, 2280.845947265625, 1580.2247314453125]",2,"{'marine mammal': 0.7465161681175232, 'whale': 0.33198970556259155}"
1485,marine mammal,0.8034162521362305,"[2113.112060546875, 986.231689453125, 2290.844482421875, 1521.7481689453125]",2,"{'marine mammal': 0.8034162521362305, 'whale': 0.05125956982374191}"
1500,whale,0.49446961283683777,"[2115.01025390625, 922.8719482421875, 2265.900146484375, 1395.9022216796875]",2,"{'whale': 0.49446961283683777, 'marine mammal': 0.2841843366622925}"
1515,marine mammal,0.8746551871299744,"[2117.407470703125, 849.495849609375, 2291.3818359375, 1384.271484375]",2,"{'marine mammal': 0.8746551871299744, 'whale': 0.18296650052070618}"
1530,marine mammal,0.6522483825683594,"[2095.16455078125, 787.2982177734375, 2289.158203125, 1320.04833984375]",2,"{'marine mammal': 0.6522483825683594, 'whale': 0.5980022549629211}"
1545,marine mammal,0.5291134715080261,"[2090.452880859375, 723.7203369140625, 2297.048583984375, 1253.0042724609375]",2,"{'marine mammal': 0.5291134715080261, 'whale': 0.3762812912464142}"
1560,marine mammal,0.41325029730796814,"[2095.330322265625, 659.7141723632812, 2296.164794921875, 1190.778564453125]",2,"{'marine mammal': 0.41325029730796814, 'whale': 0.09186667948961258}"
1575,marine mammal,0.3388977646827698,"[2093.735107421875, 594.7853393554688, 2264.91748046875, 1099.5858154296875]",2,"{'marine mammal': 0.23794910311698914, 'whale': 0.09857437014579773}"
1575,whale,0.06800305843353271,"[2096.640869140625, 594.2918701171875, 2253.85400390625, 840.9387817382812]",1,{'whale': 0.06800305843353271}
1590,whale,0.05852022394537926,"[2093.097900390625, 524.3840942382812, 2317.715576171875, 1064.675048828125]",1,{'whale': 0.05852022394537926}
1605,whale,0.1035768911242485,"[2094.842041015625, 462.32958984375, 2290.58203125, 926.2952880859375]",2,"{'whale': 0.06632888317108154, 'marine mammal': 0.07283207774162292}"
1620,whale,0.16084493696689606,"[2101.97216796875, 398.0592041015625, 2294.26318359375, 795.5185546875]",1,{'whale': 0.16084493696689606}
1635,marine mammal,0.30073535442352295,"[2099.36865234375, 365.076416015625, 2312.89111328125, 917.5125732421875]",2,"{'marine mammal': 0.30073535442352295, 'whale': 0.1361846625804901}"
1650,whale,0.2807055115699768,"[2113.3505859375, 369.76190185546875, 2307.313720703125, 844.4501953125]",2,"{'whale': 0.2807055115699768, 'marine mammal': 0.10628145188093185}"
1665,whale,0.3037247657775879,"[2108.4677734375, 404.96685791015625, 2314.0791015625, 945.4158325195312]",2,"{'whale': 0.3037247657775879, 'marine mammal': 0.2105405032634735}"
1680,marine mammal,0.24774347245693207,"[2106.562744140625, 481.3231201171875, 2314.409423828125, 1044.8115234375]",2,"{'marine mammal': 0.24774347245693207, 'whale': 0.1617514044046402}"
1695,marine mammal,0.08116013556718826,"[2079.166259765625, 541.2030029296875, 2316.9228515625, 1149.95361328125]",1,{'marine mammal': 0.08116013556718826}
1710,marine mammal,0.3241892158985138,"[2095.311767578125, 597.7009887695312, 2297.198974609375, 1118.04150390625]",2,"{'marine mammal': 0.3241892158985138, 'whale': 0.06678527593612671}"
1725,marine mammal,0.37331607937812805,"[2094.17578125, 584.7994995117188, 2339.265869140625, 1112.05810546875]",2,"{'marine mammal': 0.37331607937812805, 'whale': 0.20423012971878052}"
1740,whale,0.11849682033061981,"[2094.341552734375, 574.8410034179688, 2378.428955078125, 1146.7474365234375]",1,{'whale': 0.11849682033061981}
1755,marine mammal,0.16936898231506348,"[2107.963623046875, 597.4242553710938, 2302.36962890625, 1133.8331298828125]",2,"{'marine mammal': 0.16936898231506348, 'whale': 0.09794443100690842}"
1770,whale,0.06490939110517502,"[2120.091064453125, 646.111572265625, 2254.537109375, 878.9734497070312]",1,{'whale': 0.06490939110517502}
1785,dorsal fin,0.1965198963880539,"[2075.023681640625, 711.0342407226562, 2254.921142578125, 935.3587646484375]",2,"{'dorsal fin': 0.1965198963880539, 'whale': 0.1575520932674408}"
1785,marine mammal,0.0597093403339386,"[2073.542236328125, 710.9723510742188, 2309.95703125, 1273.7572021484375]",2,"{'marine mammal': 0.0597093403339386, 'whale': 0.0596950501203537}"
1800,whale,0.19280755519866943,"[2066.115234375, 777.3733520507812, 2244.2841796875, 1012.0717163085938]",2,"{'whale': 0.19280755519866943, 'dorsal fin': 0.18124057352542877}"
1800,whale,0.17514726519584656,"[2082.57080078125, 928.0090942382812, 2328.781005859375, 1394.4342041015625]",2,"{'whale': 0.17514726519584656, 'marine mammal': 0.06589942425489426}"
1815,marine mammal,0.21435105800628662,"[2019.4775390625, 949.2929077148438, 2476.096435546875, 1838.2764892578125]",1,{'marine mammal': 0.21435105800628662}
1815,dorsal fin,0.1703774780035019,"[2059.695068359375, 844.6995849609375, 2227.916015625, 1067.928955078125]",2,"{'dorsal fin': 0.1703774780035019, 'whale': 0.11921112984418869}"
1815,marine mammal,0.1414191573858261,"[2052.505615234375, 1012.9099731445312, 2347.7783203125, 1544.26513671875]",1,{'marine mammal': 0.06732308119535446}
1815,marine mammal,0.06912483274936676,"[2056.9453125, 845.5889282226562, 2246.898193359375, 1348.4693603515625]",1,{'marine mammal': 0.06912483274936676}
1830,whale,0.21424205601215363,"[2051.40673828125, 911.634765625, 2206.949462890625, 1129.57177734375]",1,{'whale': 0.09231527894735336}
1830,marine mammal,0.07969758659601212,"[2036.5726318359375, 908.8040771484375, 2297.357177734375, 1432.398193359375]",1,{'marine mammal': 0.07969758659601212}
1845,marine mammal,0.7140580415725708,"[2034.3687744140625, 953.1802368164062, 2258.462646484375, 1466.20654296875]",1,{'marine mammal': 0.7140580415725708}
1845,whale,0.1648755520582199,"[2038.02685546875, 953.58251953125, 2194.15576171875, 1164.2530517578125]",1,{'whale': 0.1648755520582199}
1845,marine mammal,0.12823200225830078,"[2102.464599609375, 1125.150146484375, 2257.453857421875, 1465.4000244140625]",1,{'marine mammal': 0.12823200225830078}
1860,marine mammal,0.5746139287948608,"[2024.750244140625, 922.6067504882812, 2263.708740234375, 1432.3880615234375]",2,"{'marine mammal': 0.5746139287948608, 'whale': 0.31410232186317444}"
1875,marine mammal,0.5469720959663391,"[2008.7900390625, 869.4102172851562, 2266.1982421875, 1381.2694091796875]",2,"{'marine mammal': 0.5469720959663391, 'whale': 0.20914454758167267}"
1875,whale,0.07568126916885376,"[2010.3240966796875, 870.0767822265625, 2166.4951171875, 1090.2132568359375]",1,{'whale': 0.07568126916885376}
1875,whale,0.06494644284248352,"[2136.966064453125, 1294.3590087890625, 2264.4287109375, 1380.310546875]",1,{'whale': 0.06494644284248352}
1890,marine mammal,0.6963169574737549,"[1988.706298828125, 813.5553588867188, 2261.400146484375, 1323.4661865234375]",2,"{'marine mammal': 0.6963169574737549, 'whale': 0.343741774559021}"
1890,dorsal fin,0.07148364186286926,"[2130.737060546875, 1235.56982421875, 2258.893310546875, 1328.699462890625]",2,"{'dorsal fin': 0.07148364186286926, 'whale': 0.05950809642672539}"
1905,marine mammal,0.43100619316101074,"[1971.0289306640625, 751.4410400390625, 2251.487060546875, 1255.2293701171875]",2,"{'marine mammal': 0.293178528547287, 'whale': 0.3194005489349365}"
1905,whale,0.0724678710103035,"[2131.246337890625, 1177.3956298828125, 2249.33544921875, 1256.1778564453125]",2,"{'whale': 0.0724678710103035, 'dorsal fin': 0.061549730598926544}"
1920,marine mammal,0.2734595537185669,"[1948.1444091796875, 693.4639282226562, 2236.9931640625, 1182.8031005859375]",2,"{'marine mammal': 0.09212606400251389, 'whale': 0.17056505382061005}"
1920,whale,0.10261008143424988,"[2115.33544921875, 1117.388671875, 2235.097900390625, 1195.655029296875]",1,{'whale': 0.10261008143424988}
1935,marine mammal,0.6906279921531677,"[1924.2572021484375, 640.1526489257812, 2214.321044921875, 1121.2188720703125]",2,"{'marine mammal': 0.6906279921531677, 'whale': 0.11145457625389099}"
1935,whale,0.07386995851993561,"[2102.964111328125, 1055.618408203125, 2224.1396484375, 1137.54052734375]",1,{'whale': 0.07386995851993561}
